Timestamp,Temperature,Humidity
1/18/2024 0:30,49.1,45.54
1/18/2024 0:45,49.12,44.44
1/18/2024 1:00,49.05,44.52
1/18/2024 1:15,48.99,44.46
1/18/2024 1:30,49.23,44.33
1/18/2024 1:45,49.14,44.51
1/18/2024 2:00,48.99,44.36
1/18/2024 2:15,49.12,44.87
1/18/2024 2:30,49.17,44.42
1/18/2024 2:45,49.06,44.82
1/18/2024 3:00,48.94,44.55
1/18/2024 3:15,49.19,44.51
1/18/2024 3:30,49.12,44.34
1/18/2024 3:45,48.96,44.22
1/18/2024 4:00,49.23,44.38
1/18/2024 4:15,49.17,44.34
1/18/2024 4:30,48.99,44.46
1/18/2024 4:45,49.19,44.67
1/18/2024 5:00,49.19,44.28
1/18/2024 5:15,49.06,44.1
1/18/2024 5:30,49.1,44.75
1/18/2024 5:45,49.26,44.11
1/18/2024 6:00,49.14,44.5
1/18/2024 6:15,48.99,44.41
1/18/2024 6:30,49.26,43.98
1/18/2024 6:45,49.24,44.15
1/18/2024 7:00,49.1,43.89
1/18/2024 7:15,49.23,44.26
1/18/2024 7:30,49.3,44.04
1/18/2024 7:45,49.14,43.91
1/18/2024 8:00,49.12,44.23
1/18/2024 8:15,49.35,43.93
1/18/2024 8:30,49.23,43.9
1/18/2024 8:45,49.12,43.82
1/18/2024 9:00,49.24,44.43
1/18/2024 9:15,49.32,43.87
1/18/2024 9:30,49.23,43.6
1/18/2024 9:45,49.12,43.66
1/18/2024 10:00,49.01,43.89
1/18/2024 10:15,49.12,43.87
1/18/2024 10:30,49.26,43.69
1/18/2024 10:45,49.68,42.95
1/18/2024 11:00,49.37,43.22
1/18/2024 11:15,49.19,43.22
1/18/2024 11:30,49.01,43.26
1/18/2024 11:45,48.88,43.41
1/18/2024 12:00,48.79,43.32
1/18/2024 12:15,49.05,43.34
1/18/2024 12:30,49.06,43.41
1/18/2024 12:45,48.99,43.61
1/18/2024 13:00,48.88,43.56
1/18/2024 13:15,48.81,43.54
1/18/2024 13:30,48.72,43.66
1/18/2024 13:45,48.81,44.27
1/18/2024 14:00,48.96,43.57
1/18/2024 14:15,48.92,43.76
1/18/2024 14:30,48.79,43.83
1/18/2024 14:45,48.69,43.75
1/18/2024 15:00,48.83,44.51
1/18/2024 15:15,48.94,43.85
1/18/2024 15:30,48.81,44
1/18/2024 15:45,48.74,43.9
1/18/2024 16:00,48.87,44.25
1/18/2024 16:15,48.96,44.07
1/18/2024 16:30,48.83,44.06
1/18/2024 16:45,48.76,44.06
1/18/2024 17:00,48.88,44.29
1/18/2024 17:15,48.99,44.29
1/18/2024 17:30,48.88,44.26
1/18/2024 17:45,48.79,44.12
1/18/2024 18:00,48.96,44.28
1/18/2024 18:15,49.01,44.33
1/18/2024 18:30,48.94,44.39
1/18/2024 18:45,48.81,44.18
1/18/2024 19:00,49.01,44.21
1/18/2024 19:15,49.01,44.26
1/18/2024 19:30,48.92,44.2
1/18/2024 19:45,48.81,44.57
1/18/2024 20:00,49.05,44.19
1/18/2024 20:15,49.06,44.16
1/18/2024 20:30,48.94,44.56
1/18/2024 20:45,48.87,44.51
1/18/2024 21:00,49.1,44.18
1/18/2024 21:15,49.05,44.31
1/18/2024 21:30,48.92,44.24
1/18/2024 21:45,48.96,44.8
1/18/2024 22:00,49.12,44.19
1/18/2024 22:15,49.06,44.29
1/18/2024 22:30,48.94,44.16
1/18/2024 22:45,49.01,44.51
1/18/2024 23:00,49.17,44.39
1/18/2024 23:15,49.06,44.24
1/18/2024 23:30,48.94,44.34
1/18/2024 23:45,48.99,44.51
1/19/2024 0:00,49.17,44.23
1/19/2024 0:15,49.1,44.43
1/19/2024 0:30,48.94,44.34
1/19/2024 0:45,49.12,44.83
1/19/2024 1:00,49.17,44.53
1/19/2024 1:15,49.1,44.32
1/19/2024 1:30,48.96,44.18
1/19/2024 1:45,49.17,44.79
1/19/2024 2:00,49.23,44.46
1/19/2024 2:15,49.14,44.26
1/19/2024 2:30,49.01,44.42
1/19/2024 2:45,49.19,45.29
1/19/2024 3:00,49.23,44.46
1/19/2024 3:15,49.12,44.13
1/19/2024 3:30,49.01,44.41
1/19/2024 3:45,49.24,44.59
1/19/2024 4:00,49.26,44.5
1/19/2024 4:15,49.14,44.14
1/19/2024 4:30,49.05,44.17
1/19/2024 4:45,49.32,44.05
1/19/2024 5:00,49.24,44.06
1/19/2024 5:15,49.1,43.99
1/19/2024 5:30,49.17,44.36
1/19/2024 5:45,49.37,44.07
1/19/2024 6:00,49.26,43.89
1/19/2024 6:15,49.12,43.93
1/19/2024 6:30,49.3,43.74
1/19/2024 6:45,49.26,44.03
1/19/2024 7:00,49.14,43.8
1/19/2024 7:15,49.24,44.47
1/19/2024 7:30,49.3,44
1/19/2024 7:45,49.17,43.8
1/19/2024 8:00,49.12,44.13
1/19/2024 8:15,49.35,43.8
1/19/2024 8:30,49.26,43.6
1/19/2024 8:45,49.12,43.66
1/19/2024 9:00,49.01,43.72
1/19/2024 9:15,49.14,43.92
1/19/2024 9:30,49.24,43.29
1/19/2024 9:45,49.19,43.35
1/19/2024 10:00,49.1,43.13
1/19/2024 10:15,49.05,43.12
1/19/2024 10:30,49.12,42.87
1/19/2024 10:45,50.72,41.24
1/19/2024 11:00,49.53,42.13
1/19/2024 11:15,49.14,42.48
1/19/2024 11:30,48.88,42.65
1/19/2024 11:45,48.74,42.82
1/19/2024 12:00,48.54,42.67
1/19/2024 12:15,48.45,42.8
1/19/2024 12:30,48.54,42.83
1/19/2024 12:45,48.67,42.66
1/19/2024 13:00,48.54,42.81
1/19/2024 13:15,48.43,42.91
1/19/2024 13:30,48.67,42.98
1/19/2024 13:45,48.69,42.9
1/19/2024 14:00,48.56,43.05
1/19/2024 14:15,48.49,43.08
1/19/2024 14:30,48.63,43.42
1/19/2024 14:45,48.72,43.17
1/19/2024 15:00,48.61,43.29
1/19/2024 15:15,48.49,43.22
1/19/2024 15:30,48.76,43.35
1/19/2024 15:45,48.72,43.37
1/19/2024 16:00,48.6,43.41
1/19/2024 16:15,48.74,43.63
1/19/2024 16:30,48.76,43.37
1/19/2024 16:45,48.61,43.35
1/19/2024 17:00,48.79,43.59
1/19/2024 17:15,48.79,43.4
1/19/2024 17:30,48.69,43.31
1/19/2024 17:45,48.76,43.67
1/19/2024 18:00,48.87,43.61
1/19/2024 18:15,48.74,43.3
1/19/2024 18:30,48.87,43.67
1/19/2024 18:45,48.87,43.47
1/19/2024 19:00,48.76,43.2
1/19/2024 19:15,48.88,43.64
1/19/2024 19:30,48.88,43.21
1/19/2024 19:45,48.74,43.16
1/19/2024 20:00,48.92,43.23
1/19/2024 20:15,48.92,43.01
1/19/2024 20:30,48.79,42.96
1/19/2024 20:45,48.94,42.87
1/19/2024 21:00,48.88,42.8
1/19/2024 21:15,48.76,42.73
1/19/2024 21:30,48.99,43.26
1/19/2024 21:45,48.92,42.9
1/19/2024 22:00,48.76,42.74
1/19/2024 22:15,48.99,42.88
1/19/2024 22:30,48.92,42.59
1/19/2024 22:45,48.76,42.77
